text,label,clean_pred,clean_pred_label,adv_text,adv_pred,adv_pred_label,status,num_queries,result_type,adv_prob_neg,adv_prob_pos
the film will play equally well on both the standard and giant screens . ,1,1,POSITIVE,the film alacrity play equally verywell on both the standard and giant screens . ,0,NEGATIVE,success,56,SuccessfulAttackResult,0.991654634475708,0.008345402777194977
it 's too bad that the helping hand he uses to stir his ingredients is also a heavy one . ,0,0,NEGATIVE,it 's too wicked that the relief hand he uses to stir his ingredients is also a tremendous one . ,1,POSITIVE,success,126,SuccessfulAttackResult,0.012399822473526001,0.9876002073287964
collateral damage finally delivers the goods for schwarzenegger fans . ,1,1,POSITIVE,collateral damage finally supplying the goods for schwarzenegger fans . ,0,NEGATIVE,success,57,SuccessfulAttackResult,0.9976486563682556,0.002351318020373583
makes for a pretty unpleasant viewing experience . ,0,0,NEGATIVE,makes for a pretty outrageous viewing experience . ,1,POSITIVE,success,44,SuccessfulAttackResult,0.0013380068121477962,0.998661994934082
trademark american triteness and simplicity are tossed out the window with the intelligent french drama that deftly explores the difficult relationship between a father and son . ,1,1,POSITIVE,trademark american triteness and facile are tossed out the window with the malignant french drama that deftly explores the difficult relationship between a father and son . ,0,NEGATIVE,success,68,SuccessfulAttackResult,0.9175998568534851,0.08240019530057907
"too often , the viewer is n't reacting to humor so much as they are wincing back in repugnance . ",0,0,NEGATIVE,"too seldom , the onlookers is n't reacting to mockery so much as they are grinned back in furor . ",1,POSITIVE,success,153,SuccessfulAttackResult,0.05125465616583824,0.9487453103065491
"without ever becoming didactic , director carlos carrera expertly weaves this novelistic story of entangled interrelationships and complex morality . ",1,1,POSITIVE,"without ever becoming didactic , director carlos carrera clumsily weaves this novelistic story of entangled interrelationships and complex morality . ",0,NEGATIVE,success,60,SuccessfulAttackResult,0.9664999842643738,0.033500079065561295
looks and feels like a project better suited for the small screen . ,0,0,NEGATIVE,looks and feels like a project nicest suited for the small screen . ,1,POSITIVE,success,14,SuccessfulAttackResult,0.00298941764049232,0.9970105886459351
"the tale of tok ( andy lau ) , a sleek sociopath on the trail of o ( takashi sorimachi ) , the most legendary of asian hitmen , is too scattershot to take hold . ",0,0,NEGATIVE,"the tale of tok ( andy lau ) , a sleek sociopath on the trail of o ( takashi sorimachi ) , the most legendary of asian hitmen , is too scattershot to take hold . ",0,NEGATIVE,fail,314,FailedAttackResult,0.9995467066764832,0.0004533145111054182
one from the heart . ,1,1,POSITIVE,one from the crux . ,0,NEGATIVE,success,31,SuccessfulAttackResult,0.9825584888458252,0.01744147203862667
